09/19/2016,MC,[loser],0–2,Stats,[winner],P,P,LotV,online
09/19/2016,MC,[loser],1–2,Dark,[winner],P,Z,LotV,online
09/13/2016,MC,[loser],0–2,INnoVation,[winner],P,T,LotV,online
08/27/2016,MC,[loser],0–1,TRUE,[winner],P,Z,LotV,online
07/16/2016,MC,[winner],1–0,Super,[loser],P,P,LotV,offline
07/16/2016,MC,[winner],1–0,aLive,[loser],P,T,LotV,offline
07/16/2016,MC,[winner],1–0,Curious,[loser],P,Z,LotV,offline
07/06/2016,MC,[loser],0–2,Zest,[winner],P,P,LotV,offline
07/06/2016,MC,[loser],0–2,GuMiho,[winner],P,T,LotV,offline
07/06/2016,MC,[winner],2–1,Zest,[loser],P,P,LotV,offline
06/25/2016,MC,[loser],0–1,GuMiho,[winner],P,T,LotV,offline
06/19/2016,MC,[loser],0–1,Super,[winner],P,P,LotV,offline
06/11/2016,MC,[winner],1–0,Zest,[loser],P,P,LotV,offline
05/12/2016,MC,[loser],1–2,BrAvO,[winner],P,T,LotV,offline
05/11/2016,MC,[winner],2–1,Blaze,[loser],P,P,LotV,offline
05/11/2016,MC,[winner],2–1,KeeN,[loser],P,T,LotV,offline
05/11/2016,MC,[winner],2–0,JYP,[loser],P,P,LotV,offline
04/23/2016,MC,[loser],1–3,Symbol,[winner],P,Z,LotV,online
04/21/2016,MC,[winner],2–1,XiGua,[loser],P,Z,LotV,online
04/21/2016,MC,[winner],2–1,BreakingGG,[loser],P,Z,LotV,online
04/16/2016,MC,[loser],1–3,GuMiho,[winner],P,T,LotV,online
04/15/2016,MC,[winner],2–0,TIME,[loser],P,T,LotV,online
04/15/2016,MC,[winner],2–0,TOP,[loser],P,T,LotV,online
03/11/2016,MC,[loser],0–2,Ryung,[winner],P,T,LotV,online
03/11/2016,MC,[winner],2–1,Ryung,[loser],P,T,LotV,online
02/10/2016,MC,[loser],2–3,FireCake,[winner],P,Z,LotV,online
02/07/2016,MC,[loser],1–3,Ryung,[winner],P,T,LotV,online
02/06/2016,MC,[winner],3–1,MarineLorD,[loser],P,T,LotV,online
02/05/2016,MC,[winner],2–0,SpeCial,[loser],P,T,LotV,online
02/05/2016,MC,[loser],0–2,Bly,[winner],P,Z,LotV,online
02/01/2016,MC,[loser],0–3,sOs,[winner],P,P,LotV,offline
01/21/2016,MC,[winner],2–1,aLive,[loser],P,T,LotV,online
12/29/2015,MC,[loser],1–2,DeParture,[winner],P,Z,LotV,offline
12/29/2015,MC,[loser],0–2,Super,[winner],P,P,LotV,offline
12/26/2015,MC,[loser],1–2,TRUE,[winner],P,Z,LotV,online
12/20/2015,MC,[loser],2–3,Snute,[winner],P,Z,LotV,offline
12/19/2015,MC,[winner],2–0,Dayshi,[loser],P,T,LotV,offline
12/19/2015,MC,[winner],2–0,MaNa,[loser],P,P,LotV,offline
12/18/2015,MC,[winner],2–1,Bly,[loser],P,Z,LotV,offline
12/01/2015,MC,[winner],3–2,TLO,[loser],P,Z,LotV,online
06/12/2015,MC,[loser],0–2,San,[winner],P,P,HotS,offline
06/12/2015,MC,[loser],1–2,DeParture,[winner],P,Z,HotS,offline
05/08/2015,MC,[winner],2–0,MarineLorD,[loser],P,T,HotS,offline
05/08/2015,MC,[winner],2–1,hinO,[loser],P,Z,HotS,offline
05/02/2015,MC,[winner],2–1,Heart,[loser],P,T,HotS,offline
03/28/2015,MC,[loser],1–2,Soulkey,[winner],P,Z,HotS,offline
03/28/2015,MC,[winner],2–1,Sacsri,[loser],P,Z,HotS,offline
03/26/2015,MC,[loser],0–2,sOs,[winner],P,P,HotS,offline
03/26/2015,MC,[loser],0–2,Bbyong,[winner],P,T,HotS,offline
03/26/2015,MC,[winner],2–1,Choya,[loser],P,P,HotS,offline
03/26/2015,MC,[winner],2–1,Armani,[loser],P,Z,HotS,offline
02/27/2015,MC,[loser],1–2,PartinG,[winner],P,P,HotS,offline
01/07/2015,MC,[winner],2–1,FanTaSy,[loser],P,T,HotS,offline
01/07/2015,MC,[winner],2–0,PenguiN,[loser],P,Z,HotS,offline
12/20/2014,MC,[loser],1–2,jjakji,[winner],P,T,HotS,online
12/11/2014,MC,[loser],0–2,Soulkey,[winner],P,Z,HotS,offline
12/11/2014,MC,[loser],1–2,Dark,[winner],P,Z,HotS,offline
11/28/2014,MC,[loser],2–3,jjakji,[winner],P,T,HotS,offline
11/27/2014,MC,[winner],2–1,StarDust,[loser],P,P,HotS,offline
11/27/2014,MC,[loser],0–2,ForGG,[winner],P,T,HotS,offline
11/13/2014,MC,[winner],2–1,ToD,[loser],P,P,HotS,offline
10/23/2014,MC,[loser],0–2,soO,[winner],P,Z,HotS,online
10/23/2014,MC,[loser],1–2,Rain,[winner],P,P,HotS,online
10/23/2014,MC,[winner],2–0,StarDust,[loser],P,P,HotS,online
10/10/2014,MC,[loser],0–1,VortiX,[winner],P,Z,HotS,online
12/29/2015,Life,[winner],2–0,Bunny,[loser],Z,T,LotV,offline
12/29/2015,Life,[winner],2–1,Elroye,[loser],Z,Z,LotV,offline
12/23/2015,Life,[loser],1–2,Bunny,[winner],Z,T,LotV,online
12/20/2015,Life,[winner],2–0,Impact,[loser],Z,Z,LotV,online
12/20/2015,Life,[loser],1–2,Solar,[winner],Z,Z,LotV,online
12/20/2015,Life,[winner],2–0,Choya,[loser],Z,P,LotV,online
12/18/2015,Life,[loser],0–3,herO,[winner],Z,P,LotV,offline
12/18/2015,Life,[winner],3–1,Zest,[loser],Z,P,LotV,offline
12/17/2015,Life,[loser],1–2,Hurricane,[winner],Z,P,LotV,offline
